NU_ANO;CO_POSICAO;SG_AREA;TX_COR;TX_GABARITO;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;CO_HABILIDADE;IN_ITEM_ABANDONADO
2023;136;MT;AZUL;D;1,420;-0,650;0,180;H8;0
2023;95;CN;AZUL;C;1,850;0,420;0,200;H17;0
2023;112;CN;AZUL;C;1,920;0,150;0,170;H18;0
2023;52;CH;AZUL;B;1,650;-0,350;0,190;H11;0
2023;18;LC;AZUL;C;1,520;-0,800;0,200;H25;0
2022;142;MT;AZUL;C;1,550;-0,450;0,180;H19;0
2022;103;CN;AZUL;D;1,780;0,280;0,160;H15;0
2022;120;CN;AZUL;C;1,820;0,100;0,150;H20;0
2022;70;CH;AZUL;C;1,600;0,400;0,190;H6;0
2022;32;LC;AZUL;C;1,700;0,550;0,170;H14;0
2021;155;MT;AZUL;B;1,620;0,050;0,180;H28;0
2021;98;CN;AZUL;B;1,750;0,350;0,150;H21;0
2021;127;CN;AZUL;B;1,800;0,600;0,180;H24;0
2021;65;CH;AZUL;C;1,580;0,450;0,200;H23;0
2021;24;LC;AZUL;C;1,480;-0,700;0,190;H18;0
2020;160;MT;AZUL;C;1,850;0,800;0,170;H26;0
2020;115;CN;AZUL;B;1,700;-0,100;0,160;H16;0
2020;130;CN;AZUL;C;1,650;-0,250;0,180;H20;0
2020;75;CH;AZUL;B;1,500;-0,500;0,190;H8;0
2020;35;LC;AZUL;B;1,600;0,200;0,160;H7;0
2019;148;MT;AZUL;B;1,750;0,300;0,170;H7;0
2019;105;CN;AZUL;B;1,680;-0,150;0,180;H17;0
2019;122;CN;AZUL;C;1,880;0,750;0,160;H21;0
2019;80;CH;AZUL;B;1,550;0,100;0,190;H9;0
2019;40;CH;AZUL;B;1,650;0,400;0,180;H24;0
